DATA;REDE;DESCRIÇÃO LOCAL;DESCRIÇÃO ITEM;TOTAL DE VENDAS;Outubro_2024;Novembro_2024;BlackFriday_2024;Dezembro_2024;Natal_2024;Outubro_2025;Novembro_2025;BlackFriday_2025;Dezembro_2025;Natal_2025;DESCRIÇÃO LOCAL;PROMOTOR RESPONSAVEL;MPDV DO LOCAL
28/11/2025;FAST SHOP;LOJA 1606;ECHO SPOT™ - PRETO;1;;;;;;;;;;;LOJA 1911;SEM ATENDIMENTO;N/A
19/12/2025;FAST SHOP;LOJA 1606;ECHO SPOT™ - PRETO;2;;;;;;;;;;;LOJA 1912;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;LOJA 1913;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;LOJA 1914;SEM ATENDIMENTO;N/A
01/12/2024;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;LOJA 1915;SEM ATENDIMENTO;N/A
05/12/2024;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;LOJA 1916;SEM ATENDIMENTO;N/A
24/11/2025;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;LOJA 1917;SEM ATENDIMENTO;N/A
27/11/2025;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;LOJA 1918;SEM ATENDIMENTO;N/A
25/11/2025;FAST SHOP;LOJA 1606;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;3;;;;;;;;;;;LOJA 1919;SEM ATENDIMENTO;N/A
19/11/2025;FAST SHOP;LOJA 1606;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;LOJA 1920;SEM ATENDIMENTO;N/A
29/11/2025;FAST SHOP;LOJA 1606;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 1921;SEM ATENDIMENTO;N/A
30/11/2024;FAST SHOP;LOJA 1608;FIRETV STICK HD™;2;;;;;;;;;;;LOJA 1922;SEM ATENDIMENTO;N/A
11/11/2024;FAST SHOP;LOJA 1608;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;LOJA 1923;SEM ATENDIMENTO;N/A
30/11/2024;FAST SHOP;LOJA 1608;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;;;;;;;;;;;LOJA 1924;SEM ATENDIMENTO;N/A
06/11/2024;FAST SHOP;LOJA 1608;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 1925;SEM ATENDIMENTO;N/A
12/11/2024;FAST SHOP;LOJA 1608;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;LOJA 1926;SEM ATENDIMENTO;N/A
21/12/2024;FAST SHOP;LOJA 1608;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1927;SEM ATENDIMENTO;N/A
22/12/2024;FAST SHOP;LOJA 1608;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 1928;SEM ATENDIMENTO;N/A
09/12/2024;FAST SHOP;LOJA 1608;ECHO SPOT™ - PRETO;1;;;;;;;;;;;LOJA 1929;SEM ATENDIMENTO;N/A
17/12/2024;FAST SHOP;LOJA 1608;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;LOJA 1930;SEM ATENDIMENTO;N/A
09/12/2024;FAST SHOP;LOJA 1608;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1931;SEM ATENDIMENTO;N/A
12/12/2024;FAST SHOP;LOJA 1610;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;LOJA 1932;SEM ATENDIMENTO;N/A
13/12/2024;FAST SHOP;LOJA 1610;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;LOJA 1933;SEM ATENDIMENTO;N/A
17/10/2024;FAST SHOP;LOJA 1610;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1934;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1610;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;LOJA 1935;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1610;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1936;SEM ATENDIMENTO;N/A
11/12/2024;FAST SHOP;LOJA 1610;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1937;SEM ATENDIMENTO;N/A
30/11/2024;FAST SHOP;LOJA 1610;ECHO SPOT™ - PRETO;2;;;;;;;;;;;LOJA 1938;SEM ATENDIMENTO;N/A
23/10/2024;FAST SHOP;LOJA 1610;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;LOJA 1939;SEM ATENDIMENTO;N/A
13/10/2025;FAST SHOP;LOJA 1610;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1940;SEM ATENDIMENTO;N/A
21/12/2025;FAST SHOP;LOJA 1612;KINDLE COLORSOFT™ (1ª GERAÇÃO) 16GB;1;;;;;;;;;;;LOJA 1941;SEM ATENDIMENTO;N/A
20/12/2024;FAST SHOP;LOJA 1612;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;LOJA 1942;SEM ATENDIMENTO;N/A
28/11/2025;FAST SHOP;LOJA 1612;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;LOJA 1943;SEM ATENDIMENTO;N/A
15/11/2024;FAST SHOP;LOJA 1612;FIRETV STICK HD™;2;;;;;;;;;;;LOJA 1944;SEM ATENDIMENTO;N/A
04/10/2025;FAST SHOP;LOJA 1612;FIRETV STICK HD™;0;;;;;;;;;;;LOJA 1945;SEM ATENDIMENTO;N/A
24/11/2025;FAST SHOP;LOJA 1612;FIRETV STICK HD™;3;;;;;;;;;;;LOJA 1946;SEM ATENDIMENTO;N/A
29/11/2025;FAST SHOP;LOJA 1612;FIRETV STICK HD™;0;;;;;;;;;;;LOJA 1947;SEM ATENDIMENTO;N/A
07/12/2024;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;3;;;;;;;;;;;LOJA 1948;SEM ATENDIMENTO;N/A
14/12/2024;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;LOJA 1949;SEM ATENDIMENTO;N/A
24/12/2024;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;;;;;;;;;;;LOJA 1950;SEM ATENDIMENTO;N/A
04/11/2025;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;LOJA 1951;SEM ATENDIMENTO;N/A
17/10/2024;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 1952;SEM ATENDIMENTO;N/A
26/10/2024;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1953;SEM ATENDIMENTO;N/A
15/12/2024;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;LOJA 1954;SEM ATENDIMENTO;N/A
27/11/2025;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;LOJA 1955;SEM ATENDIMENTO;N/A
29/12/2025;FAST SHOP;LOJA 1612;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;LOJA 1956;SEM ATENDIMENTO;N/A
09/11/2024;FAST SHOP;LOJA 1612;ECHO SPOT™ - PRETO;1;;;;;;;;;;;LOJA 1957;SEM ATENDIMENTO;N/A
29/11/2024;FAST SHOP;LOJA 1612;ECHO SPOT™ - PRETO;1;;;;;;;;;;;LOJA 1958;SEM ATENDIMENTO;N/A
12/11/2025;FAST SHOP;LOJA 1612;ECHO SPOT™ - PRETO;1;;;;;;;;;;;LOJA 1959;SEM ATENDIMENTO;N/A
20/12/2025;FAST SHOP;LOJA 1612;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;LOJA 1960;SEM ATENDIMENTO;N/A
27/11/2025;FAST SHOP;LOJA 1612;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;3;;;;;;;;;;;LOJA 1961;SEM ATENDIMENTO;N/A
18/12/2025;FAST SHOP;LOJA 1612;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;1;;;;;;;;;;;LOJA 1962;SEM ATENDIMENTO;N/A
28/11/2025;FAST SHOP;LOJA 1614;FIRETV STICK HD™;2;;;;;;;;;;;LOJA 1963;SEM ATENDIMENTO;N/A
25/11/2025;FAST SHOP;LOJA 1614;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
26/11/2025;FAST SHOP;LOJA 1614;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
27/11/2025;FAST SHOP;LOJA 1614;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
29/11/2025;FAST SHOP;LOJA 1614;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
20/12/2025;FAST SHOP;LOJA 1614;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
22/12/2025;FAST SHOP;LOJA 1614;ECHO DOT MAX™ (1ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
18/11/2024;FAST SHOP;LOJA 1616;FIRETV STICK HD™;3;;;;;;;;;;;;;
20/11/2024;FAST SHOP;LOJA 1616;FIRETV STICK HD™;2;;;;;;;;;;;;;
24/11/2024;FAST SHOP;LOJA 1616;FIRETV STICK HD™;3;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1616;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
30/11/2024;FAST SHOP;LOJA 1616;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1616;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1616;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
24/11/2024;FAST SHOP;LOJA 1616;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1616;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
11/12/2024;FAST SHOP;LOJA 1616;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1616;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
28/11/2024;FAST SHOP;LOJA 1616;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
10/12/2024;FAST SHOP;LOJA 1616;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
27/12/2024;FAST SHOP;LOJA 1616;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
21/11/2025;FAST SHOP;LOJA 1618;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;1;;;;;;;;;;;;;
23/12/2025;FAST SHOP;LOJA 1618;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;0;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1618;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
26/12/2024;FAST SHOP;LOJA 1618;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;;;
26/11/2025;FAST SHOP;LOJA 1618;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;;;
11/10/2024;FAST SHOP;LOJA 1618;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
23/11/2024;FAST SHOP;LOJA 1618;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
04/12/2024;FAST SHOP;LOJA 1618;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1618;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1618;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
23/10/2025;FAST SHOP;LOJA 1618;ECHO SPOT™ - BRANCO;2;;;;;;;;;;;;;
24/11/2025;FAST SHOP;LOJA 1618;ECHO SPOT™ - BRANCO;0;;;;;;;;;;;;;
11/10/2024;FAST SHOP;LOJA 1618;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1618;ECHO SPOT™ - PRETO;3;;;;;;;;;;;;;
14/12/2024;FAST SHOP;LOJA 1618;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1618;ECHO SPOT™ - PRETO;3;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1618;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
18/10/2025;FAST SHOP;LOJA 1618;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;;;;;;;;;;;;;
18/10/2024;FAST SHOP;LOJA 1618;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
30/11/2024;FAST SHOP;LOJA 1618;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
03/11/2025;FAST SHOP;LOJA 1618;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1739;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;0;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1739;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1739;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;;;
04/10/2025;FAST SHOP;LOJA 1739;FIRETV STICK HD™;0;;;;;;;;;;;;;
01/11/2025;FAST SHOP;LOJA 1739;FIRETV STICK HD™;2;;;;;;;;;;;;;
07/12/2025;FAST SHOP;LOJA 1739;FIRETV STICK HD™;1;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
26/11/2025;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
30/11/2024;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
17/12/2024;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
22/10/2025;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
26/11/2025;FAST SHOP;LOJA 1739;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
10/10/2024;FAST SHOP;LOJA 1739;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
17/11/2025;FAST SHOP;LOJA 1739;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
17/12/2025;FAST SHOP;LOJA 1739;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
23/11/2025;FAST SHOP;LOJA 1739;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;1;;;;;;;;;;;;;
12/12/2024;FAST SHOP;LOJA 1739;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;3;;;;;;;;;;;;;
22/12/2024;FAST SHOP;LOJA 1739;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
27/11/2025;FAST SHOP;LOJA 1739;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1620;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1620;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;0;;;;;;;;;;;;;
23/11/2024;FAST SHOP;LOJA 1620;FIRETV STICK HD™;2;;;;;;;;;;;;;
14/12/2024;FAST SHOP;LOJA 1620;FIRETV STICK HD™;1;;;;;;;;;;;;;
12/12/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
29/11/2025;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;;;
01/10/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
09/10/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
25/10/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
23/11/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
26/11/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
01/12/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
22/12/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
24/11/2025;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
25/11/2025;FAST SHOP;LOJA 1620;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
17/12/2024;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;3;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
19/11/2025;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
20/12/2025;FAST SHOP;LOJA 1620;ECHO SPOT™ - PRETO;3;;;;;;;;;;;;;
24/11/2025;FAST SHOP;LOJA 1620;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
30/11/2025;FAST SHOP;LOJA 1620;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1620;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
20/11/2025;FAST SHOP;LOJA 1620;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
14/12/2025;FAST SHOP;LOJA 1620;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
10/11/2025;FAST SHOP;LOJA 1621;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;0;;;;;;;;;;;;;
11/11/2025;FAST SHOP;LOJA 1621;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;0;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1621;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;1;;;;;;;;;;;;;
04/12/2024;FAST SHOP;LOJA 1621;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1621;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
10/10/2025;FAST SHOP;LOJA 1621;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
06/11/2025;FAST SHOP;LOJA 1621;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;;;
08/11/2025;FAST SHOP;LOJA 1621;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;;;
29/11/2025;FAST SHOP;LOJA 1621;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;3;;;;;;;;;;;;;
13/11/2024;FAST SHOP;LOJA 1621;FIRETV STICK HD™;2;;;;;;;;;;;;;
04/10/2025;FAST SHOP;LOJA 1621;FIRETV STICK HD™;1;;;;;;;;;;;;;
24/11/2025;FAST SHOP;LOJA 1621;FIRETV STICK HD™;2;;;;;;;;;;;;;
11/10/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - AZUL;3;;;;;;;;;;;;;
16/12/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - AZUL;0;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
20/10/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
25/11/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
06/12/2024;FAST SHOP;LOJA 1621;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
25/11/2025;FAST SHOP;LOJA 1621;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1621;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
23/12/2025;FAST SHOP;LOJA 1621;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
07/10/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;;;;;;;;;;;;;
13/11/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
29/11/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
18/12/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
14/11/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;0;;;;;;;;;;;;;
23/11/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;1;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1621;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1621;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
30/11/2024;FAST SHOP;LOJA 1621;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
10/12/2024;FAST SHOP;LOJA 1621;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1621;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
24/10/2025;FAST SHOP;LOJA 1621;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
27/11/2025;FAST SHOP;LOJA 1621;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
13/12/2025;FAST SHOP;LOJA 1623;ECHO SHOW 8 (4ª GERAÇÃO) - GRAFITE;1;;;;;;;;;;;;;
22/12/2024;FAST SHOP;LOJA 1623;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
23/11/2025;FAST SHOP;LOJA 1623;FIRETV STICK HD™;1;;;;;;;;;;;;;
29/11/2025;FAST SHOP;LOJA 1623;FIRETV STICK HD™;2;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;;;
27/11/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
04/10/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
22/11/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
01/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
02/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
06/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
27/12/2024;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
20/11/2025;FAST SHOP;LOJA 1623;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
